electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.09501,0.0682,0.012,0.05844
0.09501,0.0682,0.012,0.05844
0.09,0.0842,0.00826,0.03811
0.09,0.0842,0.00826,0.03811
0.09,0.0842,0.00826,0.03811
0.09,0.0842,0.00826,0.03811
0.07578,0.1555,0.00648,0.02634
0.07578,0.1555,0.00648,0.02634
0.07578,0.1555,0.00648,0.02634
0.07578,0.1555,0.00648,0.02634
0.07003,0.15937,0.0058,0.0261
0.07003,0.15937,0.0058,0.0261
0.07003,0.15937,0.0058,0.0261
0.07003,0.15937,0.0058,0.0261
0.06048,0.08797,0.00638,0.02
0.06048,0.08797,0.00638,0.02
0.06048,0.08797,0.00638,0.02
0.06048,0.08797,0.00638,0.02
0.06159,0.0381,0.00638,0.02
0.06159,0.0381,0.00638,0.02
0.06159,0.0381,0.00638,0.02
0.06159,0.0381,0.00638,0.02
0.0682,0.012,0.00659,0.02634
0.0682,0.012,0.00659,0.02634
0.0682,0.012,0.00659,0.02634
0.0682,0.012,0.00659,0.02634
0.0842,0.00826,0.01841,0.03987
0.0842,0.00826,0.01841,0.03987
0.0842,0.00826,0.01841,0.03987
0.0842,0.00826,0.01841,0.03987
0.1555,0.00648,0.05371,0.09008
0.1555,0.00648,0.05371,0.09008
0.1555,0.00648,0.05371,0.09008
0.1555,0.00648,0.05371,0.09008
0.15937,0.0058,0.11496,0.1049
0.15937,0.0058,0.11496,0.1049
0.15937,0.0058,0.11496,0.1049
