electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.128,0.091,0.132,0.128
0.134,0.091,0.14,0.135
0.137,0.09,0.152,0.143
0.137,0.088,0.139,0.133
0.127,0.089,0.137,0.115
0.096,0.096,0.13,0.094
0.091,0.132,0.13,0.093
0.091,0.14,0.127,0.091
0.09,0.152,0.121,0.09
0.088,0.139,0.105,0.09
0.089,0.137,0.103,0.093
0.096,0.13,0.106,0.125
0.132,0.13,0.128,0.13
0.14,0.127,0.135,0.139
0.152,0.121,0.143,0.142
0.139,0.105,0.133,0.14
0.137,0.103,0.115,0.135
0.13,0.106,0.094,0.132
0.13,0.128,0.093,0.14
0.127,0.135,0.091,0.139
0.121,0.143,0.09,0.139
0.105,0.133,0.09,0.138
0.103,0.115,0.093,0.137
0.106,0.094,0.125,0.136
0.128,0.093,0.13,0.136
0.135,0.091,0.139,0.134
0.143,0.09,0.142,0.136
0.133,0.09,0.14,0.137
0.115,0.093,0.135,0.135
0.094,0.125,0.132,0.139
0.093,0.13,0.14,0.138
0.091,0.139,0.139,0.138
0.09,0.142,0.139,0.13
0.09,0.14,0.138,0.112
0.093,0.135,0.137,0.108
0.125,0.132,0.136,0.12
0.13,0.14,0.136,0.139
0.139,0.139,0.134,0.142
0.142,0.139,0.136,0.143
0.14,0.138,0.137,0.14
0.135,0.137,0.135,0.138
0.132,0.136,0.139,0.139
0.14,0.136,0.138,0.139
0.139,0.134,0.138,0.139
0.139,0.136,0.13,0.137
0.138,0.137,0.112,0.135
0.137,0.135,0.108,0.135
0.136,0.139,0.12,0.138
0.136,0.138,0.139,0.139
0.134,0.138,0.142,0.14
0.136,0.13,0.143,0.142
0.137,0.112,0.14,0.14
0.135,0.108,0.138,0.111
0.139,0.12,0.139,0.098
0.138,0.139,0.139,0.098
0.138,0.142,0.139,0.103
0.13,0.143,0.137,0.103
0.112,0.14,0.135,0.098
0.108,0.138,0.135,0.098
0.12,0.139,0.138,0.139
0.139,0.139,0.139,0.146
0.142,0.139,0.14,0.155
